"id","centroid_x","centroid_y","polygon_source","area_mine_ha","country_name","dist_road_m","dist_power_line_m","dist_substation_m","dist_airport_m","dist_waterbody_m","dist_urban_m","avg_PVOUT","avg_GHI","avg_TEMP","avg_wind_speed_ms_50m","avg_wind_power_density_Wm2_50m","dist_PHES_upper_m","dist_PHES_lower_m","avg_elevation","dist_KBA_m","dist_PA_m","suitable_solar","suitable_wind","suitable_phes"
"A0017508",107.366579205727,21.1127380597351,"Maus et al. (2022)",16.2180622642045,"Vietnam",4671.49184097905,1443.72733916815,24045.4920773182,72394.6272543144,1151.91069270718,25900.3556585343,2.98250007629395,3.6285001039505,23.21875,3.94336565335592,93.3620274861654,11533.686332535,9557.91652293579,7,41597.3583392638,14027.4071622135,FALSE,FALSE,FALSE
"A0017509",107.36019974075,21.0801905011752,"Maus et al. (2022)",50.0455988284897,"Vietnam",2991.30273153124,2761.02111638298,23143.1518993363,69774.2075060117,2879.44580399984,22735.6772443089,3.01999998092651,3.66833333174388,23.25,3.91230474199568,81.4942561558315,7912.8223283641,5668.90445408789,0,39318.6587212553,12387.2146765471,FALSE,FALSE,FALSE
"A0017510",107.190348640963,20.9988663112981,"Maus et al. (2022)",6.01421084550948,"Vietnam",5827.33983659293,3437.28870215431,7209.03868701417,50611.2083630082,2572.2733344768,3947.02200460693,2.9760000705719,3.65199995040894,22.9375,3.82442665100098,75.534423828125,342.787734023609,4524.72171189923,144,21421.0594181198,3554.77949565833,FALSE,FALSE,FALSE
"A0017511",107.361333204692,21.0120272086705,"Maus et al. (2022)",177.254972134817,"Vietnam",8510.13780924342,8571.36479456269,22809.8167457473,66356.3454150533,9227.90592285006,18637.7084492725,3.07749998569489,3.72923997879028,23.46875,4.90677272356473,156.296738844651,5640.39782692858,3313.4511214184,0,32538.4178084087,6255.72388430852,FALSE,FALSE,FALSE
"A0044172",106.557110570384,21.1015473550855,"Tang & Werner 2023",29.1956239376227,"Vietnam",4080.27160055119,385.301819504017,2086.39089628193,32254.3766643215,1113.19163431105,1113.16470985162,2.93500006198883,3.58466664950053,23.421875,5.15901148319244,271.458610534668,61532.7110473801,59504.0388070346,9,9142.19091742218,9142.19091052645,FALSE,FALSE,FALSE
"A0044173",106.583113425533,21.0279849725023,"Tang & Werner 2023",106.203336151433,"Vietnam",424.894275730268,2063.54857171166,4681.31108977427,23390.6854597698,578.236898595849,0,2.92799997329712,3.58339999516805,23.5,4.82259613672892,228.751026407878,57641.5695692617,55533.2006170246,28.5,15507.5838887602,15507.5838429533,TRUE,FALSE,FALSE
"A0044174",106.586810489575,21.0186554811448,"Tang & Werner 2023",74.1612771218285,"Vietnam",1539.98054953955,1922.30248803064,5321.08920730516,22549.7375846664,0,57.4359850896417,2.93799996376038,3.58936366167935,23.375,4.5569056597623,186.95446361195,56929.2363417818,54812.6998431516,28,16350.5144754266,16350.5144335923,TRUE,FALSE,FALSE
"A0044175",106.569580101005,21.019469580577,"Tang & Werner 2023",52.4709033823803,"Vietnam",179.362462431325,3507.8328266469,5310.48746232809,22919.6097021394,0,0,2.95850002765656,3.62283329168955,23.5,4.49655294418335,158.886371612549,59054.2257104973,56937.824589021,17,17023.249272522,17023.249230083,TRUE,FALSE,FALSE
"A0044176",106.557277703027,21.0240135072251,"Tang & Werner 2023",13.7634418654966,"Vietnam",94.8851431469367,2870.09292717847,4928.07746701712,23806.5026085983,569.254158831379,0,2.95633331934611,3.61300007502238,23.4791666666667,4.93031485875448,230.228800455729,60712.3947034361,58598.5177228213,13.6666666666667,17000.5308275453,17000.5307916448,FALSE,FALSE,FALSE
"A0044177",106.569330237277,21.0270238141107,"Tang & Werner 2023",34.3061443080768,"Vietnam",12.5101199363247,3451.93668564554,4541.7491248898,23730.2921870283,381.012393603857,0,2.95133328437805,3.61540002822876,23.4791666666667,4.51766319274902,170.800500488281,59347.2908850254,57237.3720572215,17,16187.5748260737,16187.5747838159,FALSE,FALSE,FALSE
"A0044178",106.574062455959,21.0285798600683,"Tang & Werner 2023",4.81336462973534,"Vietnam",422.896533100658,3071.20526495671,4794.2749890547,24140.5644671922,1140.95970290495,221.383153091585,2.94599997997284,3.61400008201599,23.5,4.56962251663208,174.564308166504,59075.4792016744,56967.5524230124,20.5,16128.2781770156,16128.2781309116,FALSE,FALSE,FALSE
"A0044179",106.575114363151,21.0317436925977,"Tang & Werner 2023",7.72165425490525,"Vietnam",96.678616398439,2785.27245666405,4399.07588822038,24445.235529463,1400.8186548215,0,2.94799995422363,3.61550009250641,23.484375,4.57539701461792,177.325897216797,59017.7071817063,56912.3477247486,19.3333333333333,15648.4212541758,15648.4212080223,FALSE,FALSE,FALSE
"A0044180",106.593204966075,21.0303763808759,"Tang & Werner 2023",35.4577651369101,"Vietnam",1118.70986280332,1461.71491716914,4602.58498262554,23835.6005191872,630.401938906805,0,2.93099999427795,3.6061999797821,23.5,4.96161336898804,207.255020141602,56887.4256837623,54782.4344920243,24.25,15209.6694480083,15209.66940463,FALSE,FALSE,FALSE
"A0044181",106.587118659964,21.0347944566419,"Tang & Werner 2023",5.92729188261509,"Vietnam",635.867254821018,1601.95130450053,4791.34823666207,24633.6745819718,795.978468235386,0,2.95300006866455,3.61700010299683,23.4375,4.99148368835449,218.508697509766,57771.4145142536,55669.3900875408,17,15107.3369057373,15107.3368608608,FALSE,FALSE,FALSE
"A0044182",106.56851281013,21.0383121608991,"Tang & Werner 2023",30.0660859089223,"Vietnam",91.925391256915,2870.63868759993,3224.42295200627,24895.8149416126,1065.87062942658,0,2.94299999872843,3.60260000228882,23.4166666666667,5.169091796875,283.919027709961,59312.2483134715,57210.5915203562,18.6,14873.6155918707,14873.6155519009,FALSE,FALSE,FALSE
"A0044183",106.559322382925,21.0300241184343,"Tang & Werner 2023",20.6103570033788,"Vietnam",236.616678496924,3049.9476314151,4127.22637747682,24484.4193495086,1038.17450902086,0,2.94466662406921,3.59333332379659,23.3958333333333,4.83230304718018,192.813430786133,60355.8302624478,58251.5725384367,16,15997.31780546,15997.3177664511,FALSE,FALSE,FALSE
"A0044184",106.546182530924,21.0289663367403,"Tang & Werner 2023",24.2244842359046,"Vietnam",1264.83500865961,1944.93681627557,4537.62915535168,24621.5338259867,1060.65821711056,76.1204695484514,2.95300006866455,3.61175000667572,23.5,4.49948263168335,165.029968261719,61781.3505222319,59671.2212737511,14,16834.6331384305,16834.6331101572,FALSE,FALSE,FALSE
"A0044185",106.57056867096,21.003881343089,"Tang & Werner 2023",156.875667660038,"Vietnam",949.396533300741,2686.22938187423,4423.03925775678,20840.8646001689,0,0,2.94433331489563,3.59064001083374,23.375,4.7756596326828,213.31173210144,58330.1535170859,56202.3302176914,15.5,18396.1128972796,18556.2305349952,TRUE,FALSE,FALSE
"A0044186",106.552115568905,21.0041878575884,"Tang & Werner 2023",29.3120115129216,"Vietnam",40.5853687927398,2268.3880354592,3632.63900749056,21548.6996814104,0,0,2.97099995613098,3.63499999046326,23.5625,4.36866267522176,143.061406453451,61239.7279001491,59110.6344237341,7.5,19067.0648066953,19067.0647711641,FALSE,FALSE,FALSE
"A0044187",106.557027790736,21.0106991886089,"Tang & Werner 2023",73.4434939561978,"Vietnam",24.5158402546127,2516.06360522459,4052.97269497571,22028.4492722986,0,0,2.96233328183492,3.62779998779297,23.5625,4.33379001617432,141.453909301758,60411.8188356149,58291.5704059037,14,18009.3006087278,18009.3005695849,TRUE,FALSE,FALSE
"A0044188",106.631863130417,21.0047392433479,"Tang & Werner 2023",7.90480294209443,"Vietnam",5182.8913731626,1252.87060773737,5655.2742800729,21162.957603863,492.078905767286,445.403718832264,2.96899998188019,3.62979998588562,23.53125,4.7637460231781,237.634757995605,53043.0671826553,50914.9030022065,7.5,15951.7411277082,17489.4789522016,FALSE,FALSE,FALSE
"A0044189",106.627643939984,21.0067656682548,"Tang & Werner 2023",48.8063220915363,"Vietnam",4598.98900078113,535.398949618276,5162.66304950319,20972.7326866925,0,214.554834452389,2.96275001764297,3.62342854908534,23.53125,4.94878564562116,238.090334211077,53057.9160700097,50934.21865091,6,16109.355971262,16997.4836313925,TRUE,FALSE,FALSE
"A0044190",106.637187422676,21.0094795246725,"Tang & Werner 2023",12.3705743985318,"Vietnam",4712.15891134968,1117.1569012745,5133.27126519918,21717.8627416582,6.72865894946685,1084.61008776022,2.96849989891052,3.63299989700317,23.5625,4.94017457962036,258.103444417318,52321.4547263144,50197.1563830915,5,16111.5919984194,16922.8105934689,FALSE,FALSE,FALSE
"A0044191",106.646396521542,21.0046686010318,"Tang & Werner 2023",5.10466440224714,"Vietnam",5491.38869920397,2381.47582143304,5809.3664292261,21320.3028931662,889.08344080104,1540.70725172014,2.97300004959106,3.63599991798401,23.5625,4.72173976898193,220.027557373047,51590.1332078535,49462.0582256192,9.5,15309.1216492616,17411.3355804729,FALSE,FALSE,FALSE
"A0044192",106.670508566873,21.0226460918388,"Tang & Werner 2023",21.2702064667545,"Vietnam",5199.35693714785,3700.26349349923,4778.8466053178,22621.6559726317,585.923896122758,1070.24277741783,2.96700000762939,3.5956666469574,23.5,4.95301135381063,229.911987304688,48967.5727991662,46856.5878481523,9.75,15087.2075528274,15227.6475139046,FALSE,FALSE,FALSE
"A0044193",106.659130400859,21.0233834466738,"Tang & Werner 2023",23.2718508324556,"Vietnam",4176.57925172672,2727.39518455249,4120.7556381771,22821.8697129168,18.493349908169,1573.3406495554,2.96425002813339,3.61749994754791,23.46875,4.78568283716838,220.213027954102,50013.3287898791,47906.0756198526,11.6666666666667,15017.5294857727,15017.5294626366,FALSE,FALSE,FALSE
"A0044194",106.65497186236,21.020699572472,"Tang & Werner 2023",6.38508770657318,"Vietnam",4295.72944843202,2625.03693069393,4405.39427535149,22996.7612167844,0,2212.05922914736,2.97000002861023,3.63150000572205,23.5625,4.79087336858114,209.539227803548,50624.4608263563,48511.8342823407,12,15618.876604117,15618.876573397,FALSE,FALSE,FALSE
"A0044195",106.650206511861,21.0250096181763,"Tang & Werner 2023",6.43471121991779,"Vietnam",3639.15242105173,1993.45378759635,3755.9002257807,23580.3310715669,307.062496690285,1680.18232016054,2.96724998950958,3.62800002098083,23.53125,4.82318449020386,207.079208374023,51151.4185662923,49041.9107508763,11,15101.1201064846,15101.1200722484,FALSE,FALSE,FALSE
"A0044196",106.647306670512,21.0225380160539,"Tang & Werner 2023",24.3003696861145,"Vietnam",3504.38301007122,1671.47409277999,3748.8520246388,23115.5506061883,0,1855.08670188516,2.96799993515015,3.622250020504,23.5,4.92119757334391,211.19194539388,51254.2268126738,49141.498843993,8.5,15272.6525798263,15272.6525432733,FALSE,FALSE,FALSE
"A0044197",106.662713685446,21.0179376123623,"Tang & Werner 2023",3.6050990111389,"Vietnam",5070.38348796096,3492.56262728494,5042.72427529649,22501.3418873327,0,1873.74091679244,2.96199989318848,3.60266669591268,23.3125,4.82411584854126,179.371691894531,49879.2098057327,47764.2935204265,11.5,15562.7342432503,15909.9672292775,FALSE,FALSE,FALSE
"A0044198",106.633882747779,21.0454048111083,"Tang & Werner 2023",23.6853216634076,"Vietnam",714.291352078594,67.7560400969518,977.631367130246,25561.3449225645,2616.23690274409,0,2.96850001811981,3.62475001811981,23.5,4.92891621589661,207.007247924805,52845.5599672088,50756.9674808826,-0.5,12834.7250014268,12834.7249636223,FALSE,FALSE,FALSE
"A0044199",106.627000255558,21.0444611029717,"Tang & Werner 2023",8.28196324892005,"Vietnam",720.336654809548,0,1357.2096125909,25511.4254914451,2094.79678028528,0,2.96749997138977,3.62400007247925,23.5,5.03029251098633,229.351821899414,53685.3640427436,51597.2432431785,-1,13192.9678808459,13192.9678438965,FALSE,FALSE,FALSE
